season,lg,type,number_tm,position,player_x,age_x,tm,pts_won,pts_max,share,x1st_tm,x2nd_tm,x3rd_tm,seas_id_x,player_id,mp_per_game,fg_per_game,fga_per_game,fg_percent,x3p_per_game,x3pa_per_game,x3p_percent,x2p_per_game,x2pa_per_game,x2p_percent,e_fg_percent,ft_per_game,fta_per_game,ft_percent,orb_per_game,drb_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,tov_per_game,pf_per_game,pts_per_game,seas_id_y,player_y,birth_year,pos,age_y,experience,g,player,age,seas_id,gs
2024,NBA,All-NBA,1T,C,Nikola Jokić,28,DEN,495.0,495.0,1.0,99.0,0.0,0.0,31672.0,4352,34.6,10.4,17.9,0.583,1.1,2.9,0.359,9.4,14.900000000000002,0.626,0.612,4.5,5.5,0.817,2.8,9.5,12.4,9.0,1.4,0.9000000000000001,3.0,2.5,26.4,31672.0,Nikola Jokić,,C,28.0,9.0,79.0,,,,
2024,NBA,All-NBA,1T,G,Shai Gilgeous-Alexander,25,OKC,495.0,495.0,1.0,99.0,0.0,0.0,31769.0,4670,12.095833333333331,1.633333333333333,4.077083333333333,0.4062083333333333,0.4041666666666668,1.31875,0.290125,1.2791666666666668,2.7125,0.4642916666666667,0.4525416666666666,0.7958333333333334,1.0270833333333331,0.8220833333333334,0.3041666666666666,1.3041666666666667,1.5645833333333334,1.2708333333333337,0.3916666666666668,0.1020833333333333,0.6104166666666666,1.1333333333333335,4.5062500000000005,31770.0,Shake Milton,,SG,27.0,6.0,96.0,,,,
2024,NBA,All-NBA,1T,F,Giannis Antetokounmpo,29,MIL,473.0,495.0,0.956,88.0,11.0,0.0,31366.0,4164,35.2,11.5,18.8,0.611,0.5,1.7,0.274,11.0,17.1,0.645,0.624,7.0,10.7,0.657,2.7,8.8,11.5,6.5,1.2,1.1,3.4,2.9,30.4,31366.0,Giannis Antetokounmpo,,PF,29.0,11.0,73.0,,,,
2024,NBA,All-NBA,1T,F,Jayson Tatum,25,BOS,427.0,495.0,0.863,65.0,34.0,0.0,31468.0,4518,35.7,9.1,19.3,0.471,3.1,8.2,0.376,6.0,11.0,0.542,0.552,5.6,6.7,0.833,0.9000000000000001,7.200000000000001,8.1,4.9,1.0,0.6,2.5,2.0,26.9,31468.0,Jayson Tatum,,PF,25.0,7.0,74.0,,,,
2024,NBA,All-NBA,2T,G,Anthony Edwards,22,MIN,285.0,495.0,0.576,3.0,87.0,9.0,31171.0,4808,35.1,9.1,19.7,0.4610000000000001,2.4,6.700000000000001,0.357,6.700000000000001,13.0,0.515,0.522,5.4,6.4,0.836,0.7,4.8,5.4,5.1,1.3,0.5,3.1,1.8000000000000005,25.9,31171.0,Anthony Edwards,,SG,22.0,4.0,79.0,,,,
2024,NBA,All-NBA,2T,F,Kevin Durant,35,PHO,274.0,495.0,0.554,2.0,85.0,9.0,31551.0,3770,37.2,10.0,19.1,0.523,2.2,5.4,0.413,7.8,13.7,0.567,0.581,4.8,5.6,0.856,0.5,6.1,6.6,5.0,0.9,1.2,3.3,1.8,27.1,31551.0,Kevin Durant,,PF,35.0,16.0,75.0,,,,
2024,NBA,All-NBA,2T,F,Kawhi Leonard,32,LAC,242.0,495.0,0.489,1.0,72.0,21.0,31531.0,4032,34.3,9.0,17.1,0.525,2.1,4.9,0.417,6.9,12.1,0.569,0.585,3.7,4.2,0.885,1.2,4.9,6.1,3.6,1.6,0.9,1.8,1.4,23.7,31531.0,Kawhi Leonard,,SF,32.0,12.0,68.0,,,,
2024,NBA,All-NBA,2T,C,Anthony Davis,30,LAL,230.0,495.0,0.465,1.0,65.0,30.0,31170.0,4066,35.5,9.4,16.9,0.556,0.4,1.4,0.271,9.0,15.5,0.582,0.567,5.5,6.8,0.816,3.1,9.5,12.6,3.5,1.2,2.3,2.1,2.3,24.7,31170.0,Anthony Davis,,C,30.0,12.0,76.0,,,,
2024,NBA,All-NBA,3T,G,Stephen Curry,35,GSW,117.0,495.0,0.236,0.0,13.0,78.0,31786.0,3903,32.7,8.8,19.5,0.45,4.8,11.8,0.408,4.0,7.700000000000001,0.515,0.573,4.0,4.4,0.923,0.5,4.0,4.5,5.1,0.7,0.4,2.8,1.6,26.4,31786.0,Stephen Curry,,PG,35.0,15.0,74.0,,,,
2024,NBA,All-NBA,3T,G,Tyrese Haliburton,23,IND,75.0,495.0,0.152,0.0,2.0,69.0,31842.0,4892,32.2,7.2,15.2,0.477,2.8,7.799999999999999,0.364,4.4,7.4,0.595,0.57,2.8,3.3,0.855,0.5,3.4,3.9,10.9,1.2,0.7,2.3,1.1,20.1,31842.0,Tyrese Haliburton,,PG,23.0,4.0,69.0,,,,
2024,NBA,All-NBA,3T,G,Devin Booker,27,PHO,70.0,495.0,0.141,0.0,7.0,49.0,31314.0,4321,36.0,9.4,19.2,0.492,2.2,6.1,0.364,7.2,13.0,0.552,0.55,6.0,6.7,0.886,0.8,3.7,4.5,6.9,0.9,0.4,2.6,3.0,27.1,31314.0,Devin Booker,,PG,27.0,9.0,68.0,,,,
2024,NBA,All-NBA,ORV,G,Tyrese Maxey,23,PHI,16.0,495.0,0.032,0.0,1.0,13.0,31843.0,4893,37.5,9.1,20.3,0.45,3.0,8.1,0.373,6.1,12.1,0.501,0.524,4.7,5.4,0.868,0.5,3.2,3.7,6.2,1.0,0.5,1.7,2.2,25.9,31843.0,Tyrese Maxey,,PG,23.0,4.0,70.0,,,,
2024,NBA,All-NBA,ORV,C,Rudy Gobert,31,MIN,12.0,495.0,0.024,0.0,1.0,9.0,31747.0,4199,34.1,5.3,8.1,0.661,0.0,0.0,0.0,5.3,8.0,0.664,0.661,3.3,5.1,0.638,3.8,9.2,12.9,1.3,0.7,2.1,1.6,3.1,14.0,31747.0,Rudy Gobert,,C,31.0,11.0,76.0,,,,
2024,NBA,All-NBA,ORV,F,Zion Williamson,23,NOP,11.0,495.0,0.022,0.0,1.0,8.0,31870.0,4803,31.5,8.9,15.6,0.57,0.1,0.3,0.333,8.8,15.4,0.574,0.573,5.0,7.1,0.702,1.7,4.1,5.8,5.0,1.1,0.7,2.8,2.3,22.9,31870.0,Zion Williamson,,PF,23.0,4.0,70.0,,,,
2024,NBA,All-NBA,ORV,C,Victor Wembanyama,20,SAS,11.0,495.0,0.022,0.0,2.0,5.0,31850.0,5209,29.7,7.799999999999999,16.7,0.465,1.8,5.5,0.325,6.0,11.2,0.534,0.519,4.1,5.2,0.796,2.3,8.4,10.6,3.9,1.2,3.6,3.7,2.2,21.4,31850.0,Victor Wembanyama,,C,20.0,1.0,71.0,,,,
2024,NBA,All-NBA,ORV,F,Paolo Banchero,21,ORL,10.0,495.0,0.02,0.0,2.0,4.0,31700.0,5089,35.0,8.0,17.6,0.4549999999999999,1.5,4.4,0.339,6.5,13.2,0.493,0.497,5.1,7.0,0.725,1.0,5.9,6.9,5.4,0.9,0.6,3.1,1.9,22.6,31700.0,Paolo Banchero,,PF,21.0,2.0,80.0,,,,
2024,NBA,All-NBA,ORV,G,De'Aaron Fox,26,SAC,9.0,495.0,0.018,0.0,1.0,6.0,31291.0,4489,35.9,9.7,20.9,0.465,2.9,7.799999999999999,0.369,6.8,13.1,0.522,0.534,4.2,5.7,0.738,0.9000000000000001,3.7,4.6,5.6,2.0,0.4,2.6,2.6,26.6,31291.0,De'Aaron Fox,,PG,26.0,7.0,74.0,,,,
2024,NBA,All-NBA,ORV,C,Bam Adebayo,26,MIA,7.0,495.0,0.014,0.0,1.0,4.0,31178.0,4472,34.0,7.5,14.3,0.521,0.2,0.6,0.357,7.299999999999999,13.7,0.528,0.529,4.1,5.5,0.755,2.2,8.1,10.4,3.9,1.1,0.9,2.3,2.2,19.3,31178.0,Bam Adebayo,,C,26.0,7.0,71.0,,,,
2024,NBA,All-NBA,ORV,F,DeMar DeRozan,34,CHI,1.0,495.0,0.002,0.0,0.0,1.0,31296.0,3872,37.8,8.2,17.2,0.48,0.9000000000000001,2.8,0.333,7.299999999999999,14.3,0.509,0.507,6.6,7.700000000000001,0.853,0.5,3.8,4.3,5.3,1.1,0.6,1.6999999999999995,2.0,24.0,31296.0,DeMar DeRozan,,SF,34.0,15.0,79.0,,,,
2023,NBA,All-NBA,1T,F,Giannis Antetokounmpo,28,MIL,500.0,500.0,1.0,100.0,0.0,0.0,30665.0,4164,32.1,11.2,20.3,0.553,0.7,2.7,0.275,10.5,17.6,0.596,0.572,7.9,12.3,0.645,2.2,9.6,11.8,5.7,0.8,0.8,3.9,3.1,31.1,30665.0,Giannis Antetokounmpo,,PF,28.0,10.0,63.0,,,,
