,mp_per_game,fg_per_game,fga_per_game,fg_percent,x3p_per_game,x3pa_per_game,x3p_percent,x2p_per_game,x2pa_per_game,x2p_percent,e_fg_percent,ft_per_game,fta_per_game,ft_percent,orb_per_game,drb_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,tov_per_game,pf_per_game,pts_per_game,g
PC1,0.18842707288278637,0.23707127011653326,0.21823032027132475,0.22735235625036082,0.08726839260672319,0.07929967842236367,0.027639592262358143,0.24276361823863113,0.2330033723085793,0.23238807125515992,0.23279428141885275,0.273707680211566,0.2661184302517038,0.16450116771791795,0.1822461317518651,0.23084608707935356,0.23003012448979626,0.18629908988884353,0.1747561393268821,0.2199281746389809,0.2061811653606751,0.17701031683021784,0.23594614838815967,0.13246222826833828
PC2,-0.09211967813982962,-0.1098000491793314,-0.15121282361014463,0.47733626494511106,-0.11103226887193327,-0.12037174540097774,-0.030459591000890667,-0.09075547565191065,-0.13221285273239164,0.5164643866916654,0.4899276349934367,-0.17590332610047452,-0.14971295438311027,-0.056276025834146384,0.05558384903654867,-0.015124665968521755,0.008183297820204709,-0.20714159535546153,-0.13425397174729867,0.10018122102585203,-0.14639950174500757,-0.015283445491528916,-0.12541775683497056,-0.015612449026198615
PC3,-0.02984940715049308,-0.03680449814803354,-0.06494270173395726,-0.05160184235527832,-0.34402497510640656,-0.31474602920036254,-0.1808268630861846,0.06403197685244974,0.0609647194070089,-0.15644290346840517,-0.25263084338299585,0.0015552422258469508,0.057745135082301724,-0.34138026293801266,0.3287268025131928,0.19939896400130394,0.2577956945965892,-0.2318364214233372,-0.09301119913876647,0.4759610921167495,-0.014605242126841007,0.11845931718087532,-0.061954036343429025,-0.05885866953948695
PC4,-0.0002927753688749582,-0.087700860890122,-0.07352054908285319,-0.0945705242186065,-0.021167306349130076,-0.025592224078595176,0.015968334414320443,-0.09328231018707278,-0.07908927414370676,-0.10096951579772219,-0.07832280218884705,-0.07930364098787814,-0.1083214640635308,0.8162028921460195,0.08030521116643023,0.07492605971538854,0.08191056433505825,-0.21665193910390074,-0.09785659015599092,0.24172647261777336,-0.11276347736720543,0.08445214754331111,-0.08207202194878034,0.31749710232594835
PC5,0.06067143192494908,-0.0019221630562310699,0.02728948538287238,-0.1643991633503568,0.5225616280144462,0.4712694721255708,0.15348652049517492,-0.16304996339847155,-0.17739936196248465,-0.07508570569994687,0.12553105837611192,-0.15457338244292165,-0.13889998503162584,-0.24515486550115578,0.005641618856569916,0.20579214680927704,0.15076793671390776,-0.129936006410412,-0.04267850294797234,0.41189414427870435,-0.09909776268346353,0.012527824834740912,0.022987967017387128,-0.05568167088234885
PC6,0.09606450063692416,-0.05604475934506784,-0.04356812730854433,0.009271486184685863,-0.04623913012432629,-0.044467564214564353,0.014312122199707768,-0.04982685890324069,-0.03393414153882388,-0.03248971928515409,-0.003337156807899467,-0.25583497129817406,-0.21413235099524455,-0.29071749342900194,0.03617821254485761,0.019020664960308586,0.02638198795773504,0.25384905246937395,0.2263746744933678,-0.07637742433451687,0.07258534800193249,0.16267774623765807,-0.09308674641424994,0.7851888631073368
PC7,0.027565600381504685,-0.10898141518196525,-0.099918153093069,-0.005065288877044525,-0.10992692090855065,-0.07482250736757434,-0.04250296460271223,-0.09022562371790631,-0.08941405485309718,0.09285424816995001,-0.060294084826616294,-0.16105281391410176,-0.15845723034001571,0.14438574202669682,-0.1732160058717446,-0.08451658347512549,-0.12094826241498104,0.557281517266472,0.3423496923982069,0.47249363583758613,0.1590599064214695,0.05433674780630102,-0.12219492703763703,-0.33406974409079826
PC8,-0.09488623002516076,0.06829890547629139,0.059223523230774365,0.05015282514567016,-0.013597150061186777,-0.026302175757153087,0.030613817400634152,0.08204033260389802,0.08468197200007527,-0.0628575268475919,0.05232141983418575,0.22289329307758945,0.19467687838886516,-0.11478043802626582,-0.3721993458578492,-0.3556260508392616,-0.3857849117595681,-0.10975362074516486,-0.1763491920414962,0.499890388676749,-0.021229225509537777,-0.18108217566118498,0.0905104182323641,0.3299224536143476
PC9,-0.00746553555430876,0.01275443167026593,0.03511898370626254,-0.2710934799036387,0.04770484243305704,0.15966557558545777,-0.2636709532579307,7.275852423306838e-05,-0.028393204354982122,0.7441463760934174,-0.4964797037282178,0.03232804453046083,0.025803618959279004,-0.023856310325934483,-0.05638386689317572,0.016765663735840132,-0.00723432264231135,-0.060088341663284826,-0.03684702007614525,0.008133167128544847,-0.026862694582219567,-0.05352225979271182,0.020133601341451455,0.10906224553060012
PC10,-0.09743910898392139,-0.290684594213927,-0.2860213516983518,0.008167040839994777,0.03287993643883207,0.03257362776669143,-0.07544664233701844,-0.3405927007839906,-0.3667316493779272,-0.026761660179422674,0.05933566166834199,0.4311916357365243,0.4284681012252137,-0.02798733654196982,0.038818852006321874,0.15528636636301563,0.1259101622889374,0.262795056639179,-0.14574149284524987,-0.04231842681631477,0.1175156432216247,-0.09916255865275259,-0.13498332506898256,0.1258633266179744
